ID,Name,Type 1,Type 2,Total,Total Attack,Total Defense,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
122,Mr. Mime,Psychic,Fairy,460,235,225,40,45,65,100,120,90,1,False
123,Scyther,Bug,Flying,500,270,230,70,110,80,55,80,105,1,False
124,Jynx,Ice,Psychic,455,260,195,65,50,35,115,95,95,1,False
125,Electabuzz,Electric,,490,283,207,65,83,57,95,85,105,1,False
126,Magmar,Fire,,495,288,207,65,95,57,100,85,93,1,False
127,Pinsir,Bug,,500,265,235,65,125,100,55,70,85,1,False
127,PinsirMega Pinsir,Bug,Flying,600,325,275,65,155,120,65,90,105,1,False
128,Tauros,Normal,,490,250,240,75,100,95,40,70,110,1,False
129,Magikarp,Water,,200,105,95,20,10,55,15,20,80,1,False
130,Gyarados,Water,Flying,540,266,274,95,125,79,60,100,81,1,False
130,GyaradosMega Gyarados,Water,Dark,640,306,334,95,155,109,70,130,81,1,False
131,Lapras,Water,Ice,535,230,305,130,85,80,85,95,60,1,False
132,Ditto,Normal,,288,144,144,48,48,48,48,48,48,1,False
133,Eevee,Normal,,325,155,170,55,55,50,45,65,55,1,False
134,Vaporeon,Water,,525,240,285,130,65,60,110,95,65,1,False
135,Jolteon,Electric,,525,305,220,65,65,60,110,95,130,1,False
136,Flareon,Fire,,525,290,235,65,130,60,95,110,65,1,False
137,Porygon,Normal,,395,185,210,65,60,70,85,75,40,1,False
138,Omanyte,Rock,Water,355,165,190,35,40,100,90,55,35,1,False
139,Omastar,Rock,Water,495,230,265,70,60,125,115,70,55,1,False
140,Kabuto,Rock,Water,355,190,165,30,80,90,55,45,55,1,False
141,Kabutops,Rock,Water,495,260,235,60,115,105,65,70,80,1,False
142,Aerodactyl,Rock,Flying,515,295,220,80,105,65,60,75,130,1,False
142,AerodactylMega Aerodactyl,Rock,Flying,615,355,260,80,135,85,70,95,150,1,False
143,Snorlax,Normal,,540,205,335,160,110,65,65,110,30,1,False
144,Articuno,Ice,Flying,580,265,315,90,85,100,95,125,85,1,True
145,Zapdos,Electric,Flying,580,315,265,90,90,85,125,90,100,1,True
146,Moltres,Fire,Flying,580,315,265,90,100,90,125,85,90,1,True
147,Dratini,Dragon,,300,164,136,41,64,45,50,50,50,1,False
148,Dragonair,Dragon,,420,224,196,61,84,65,70,70,70,1,False
149,Dragonite,Dragon,Flying,600,314,286,91,134,95,100,100,80,1,False
150,Mewtwo,Psychic,,680,394,286,106,110,90,154,90,130,1,True
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,474,306,106,190,100,154,100,130,1,True
150,MewtwoMega Mewtwo Y,Psychic,,780,484,296,106,150,70,194,120,140,1,True
151,Mew,Psychic,,600,300,300,100,100,100,100,100,100,1,False
152,Chikorita,Grass,,318,143,175,45,49,65,49,65,45,2,False
153,Bayleef,Grass,,405,185,220,60,62,80,63,80,60,2,False
154,Meganium,Grass,,525,245,280,80,82,100,83,100,80,2,False
155,Cyndaquil,Fire,,309,177,132,39,52,43,60,50,65,2,False
156,Quilava,Fire,,405,224,181,58,64,58,80,65,80,2,False
157,Typhlosion,Fire,,534,293,241,78,84,78,109,85,100,2,False
158,Totodile,Water,,314,152,162,50,65,64,44,48,43,2,False
159,Croconaw,Water,,405,197,208,65,80,80,59,63,58,2,False
160,Feraligatr,Water,,530,262,268,85,105,100,79,83,78,2,False
161,Sentret,Normal,,215,101,114,35,46,34,35,45,20,2,False
162,Furret,Normal,,415,211,204,85,76,64,45,55,90,2,False
163,Hoothoot,Normal,Flying,262,116,146,60,30,30,36,56,50,2,False
164,Noctowl,Normal,Flying,442,196,246,100,50,50,76,96,70,2,False
165,Ledyba,Bug,Flying,265,115,150,40,20,30,40,80,55,2,False
166,Ledian,Bug,Flying,390,175,215,55,35,50,55,110,85,2,False
167,Spinarak,Bug,Poison,250,130,120,40,60,40,40,40,30,2,False
168,Ariados,Bug,Poison,390,190,200,70,90,70,60,60,40,2,False
169,Crobat,Poison,Flying,535,290,245,85,90,80,70,80,130,2,False
170,Chinchou,Water,Electric,330,161,169,75,38,38,56,56,67,2,False
171,Lanturn,Water,Electric,460,201,259,125,58,58,76,76,67,2,False
172,Pichu,Electric,,205,135,70,20,40,15,35,35,60,2,False
173,Cleffa,Fairy,,218,85,133,50,25,28,45,55,15,2,False
174,Igglybuff,Normal,Fairy,210,85,125,90,30,15,40,20,15,2,False
175,Togepi,Fairy,,245,80,165,35,20,65,40,65,20,2,False
176,Togetic,Fairy,Flying,405,160,245,55,40,85,80,105,40,2,False
177,Natu,Psychic,Flying,320,190,130,40,50,45,70,45,70,2,False
178,Xatu,Psychic,Flying,470,265,205,65,75,70,95,70,95,2,False
179,Mareep,Electric,,280,140,140,55,40,40,65,45,35,2,False
180,Flaaffy,Electric,,365,180,185,70,55,55,80,60,45,2,False
181,Ampharos,Electric,,510,245,265,90,75,85,115,90,55,2,False
181,AmpharosMega Ampharos,Electric,Dragon,610,305,305,90,95,105,165,110,45,2,False
182,Bellossom,Grass,,490,220,270,75,80,95,90,100,50,2,False
183,Marill,Water,Fairy,250,80,170,70,20,50,20,50,40,2,False
184,Azumarill,Water,Fairy,420,160,260,100,50,80,60,80,50,2,False
185,Sudowoodo,Rock,,410,160,250,70,100,115,30,65,30,2,False
186,Politoed,Water,,500,235,265,90,75,75,90,100,70,2,False
187,Hoppip,Grass,Flying,250,120,130,35,35,40,35,55,50,2,False
188,Skiploom,Grass,Flying,340,170,170,55,45,50,45,65,80,2,False
189,Jumpluff,Grass,Flying,460,220,240,75,55,70,55,95,110,2,False
190,Aipom,Normal,,360,195,165,55,70,55,40,55,85,2,False
191,Sunkern,Grass,,180,90,90,30,30,30,30,30,30,2,False
192,Sunflora,Grass,,425,210,215,75,75,55,105,85,30,2,False
193,Yanma,Bug,Flying,390,235,155,65,65,45,75,45,95,2,False
194,Wooper,Water,Ground,210,85,125,55,45,45,25,25,15,2,False
195,Quagsire,Water,Ground,430,185,245,95,85,85,65,65,35,2,False
196,Espeon,Psychic,,525,305,220,65,65,60,130,95,110,2,False
197,Umbreon,Dark,,525,190,335,95,65,110,60,130,65,2,False
198,Murkrow,Dark,Flying,405,261,144,60,85,42,85,42,91,2,False
199,Slowking,Water,Psychic,490,205,285,95,75,80,100,110,30,2,False
200,Misdreavus,Ghost,,435,230,205,60,60,60,85,85,85,2,False
201,Unown,Psychic,,336,192,144,48,72,48,72,48,48,2,False
202,Wobbuffet,Psychic,,405,99,306,190,33,58,33,58,33,2,False
203,Girafarig,Normal,Psychic,455,255,200,70,80,65,90,65,85,2,False
204,Pineco,Bug,,290,115,175,50,65,90,35,35,15,2,False
205,Forretress,Bug,Steel,465,190,275,75,90,140,60,60,40,2,False
206,Dunsparce,Normal,,415,180,235,100,70,70,65,65,45,2,False
207,Gligar,Ground,Flying,430,195,235,65,75,105,35,65,85,2,False
208,Steelix,Steel,Ground,510,170,340,75,85,200,55,65,30,2,False
208,SteelixMega Steelix,Steel,Ground,610,210,400,75,125,230,55,95,30,2,False
209,Snubbull,Fairy,,300,150,150,60,80,50,40,40,30,2,False
210,Granbull,Fairy,,450,225,225,90,120,75,60,60,45,2,False
211,Qwilfish,Water,Poison,430,235,195,65,95,75,55,55,85,2,False
212,Scizor,Bug,Steel,500,250,250,70,130,100,55,80,65,2,False
212,ScizorMega Scizor,Bug,Steel,600,290,310,70,150,140,65,100,75,2,False
213,Shuckle,Bug,Rock,505,25,480,20,10,230,10,230,5,2,False
214,Heracross,Bug,Fighting,500,250,250,80,125,75,40,95,85,2,False
214,HeracrossMega Heracross,Bug,Fighting,600,300,300,80,185,115,40,105,75,2,False
215,Sneasel,Dark,Ice,430,245,185,55,95,55,35,75,115,2,False
216,Teddiursa,Normal,,330,170,160,60,80,50,50,50,40,2,False
217,Ursaring,Normal,,500,260,240,90,130,75,75,75,55,2,False
218,Slugma,Fire,,250,130,120,40,40,40,70,40,20,2,False
219,Magcargo,Fire,Rock,410,160,250,50,50,120,80,80,30,2,False
220,Swinub,Ice,Ground,250,130,120,50,50,40,30,30,50,2,False
221,Piloswine,Ice,Ground,450,210,240,100,100,80,60,60,50,2,False
222,Corsola,Water,Rock,380,155,225,55,55,85,65,85,35,2,False
223,Remoraid,Water,,300,195,105,35,65,35,65,35,65,2,False
224,Octillery,Water,,480,255,225,75,105,75,105,75,45,2,False
225,Delibird,Ice,Flying,330,195,135,45,55,45,65,45,75,2,False
226,Mantine,Water,Flying,465,190,275,65,40,70,80,140,70,2,False
227,Skarmory,Steel,Flying,465,190,275,65,80,140,40,70,70,2,False
228,Houndour,Dark,Fire,330,205,125,45,60,30,80,50,65,2,False
229,Houndoom,Dark,Fire,500,295,205,75,90,50,110,80,95,2,False
229,HoundoomMega Houndoom,Dark,Fire,600,345,255,75,90,90,140,90,115,2,False
230,Kingdra,Water,Dragon,540,275,265,75,95,95,95,95,85,2,False
231,Phanpy,Ground,,330,140,190,90,60,60,40,40,40,2,False
232,Donphan,Ground,,500,230,270,90,120,120,60,60,50,2,False
233,Porygon2,Normal,,515,245,270,85,80,90,105,95,60,2,False
234,Stantler,Normal,,465,265,200,73,95,62,85,65,85,2,False
235,Smeargle,Normal,,250,115,135,55,20,35,20,45,75,2,False
236,Tyrogue,Fighting,,210,105,105,35,35,35,35,35,35,2,False
237,Hitmontop,Fighting,,455,200,255,50,95,95,35,110,70,2,False
238,Smoochum,Ice,Psychic,305,180,125,45,30,15,85,65,65,2,False
239,Elekid,Electric,,360,223,137,45,63,37,65,55,95,2,False
240,Magby,Fire,,365,228,137,45,75,37,70,55,83,2,False
241,Miltank,Normal,,490,220,270,95,80,105,40,70,100,2,False
242,Blissey,Normal,,540,140,400,255,10,10,75,135,55,2,False
243,Raikou,Electric,,580,315,265,90,85,75,115,100,115,2,True
244,Entei,Fire,,580,305,275,115,115,85,90,75,100,2,True
245,Suicune,Water,,580,250,330,100,75,115,90,115,85,2,True
246,Larvitar,Rock,Ground,300,150,150,50,64,50,45,50,41,2,False
247,Pupitar,Rock,Ground,410,200,210,70,84,70,65,70,51,2,False
248,Tyranitar,Rock,Dark,600,290,310,100,134,110,95,100,61,2,False
248,TyranitarMega Tyranitar,Rock,Dark,700,330,370,100,164,150,95,120,71,2,False
249,Lugia,Psychic,Flying,680,290,390,106,90,130,90,154,110,2,True
250,Ho-oh,Fire,Flying,680,330,350,106,130,90,110,154,90,2,True
251,Celebi,Psychic,Grass,600,300,300,100,100,100,100,100,100,2,False
252,Treecko,Grass,,310,180,130,40,45,35,65,55,70,3,False
253,Grovyle,Grass,,405,245,160,50,65,45,85,65,95,3,False
254,Sceptile,Grass,,530,310,220,70,85,65,105,85,120,3,False
254,SceptileMega Sceptile,Grass,Dragon,630,400,230,70,110,75,145,85,145,3,False
255,Torchic,Fire,,310,175,135,45,60,40,70,50,45,3,False
256,Combusken,Fire,Fighting,405,225,180,60,85,60,85,60,55,3,False
257,Blaziken,Fire,Fighting,530,310,220,80,120,70,110,70,80,3,False
257,BlazikenMega Blaziken,Fire,Fighting,630,390,240,80,160,80,130,80,100,3,False
258,Mudkip,Water,,310,160,150,50,70,50,50,50,40,3,False
259,Marshtomp,Water,Ground,405,195,210,70,85,70,60,70,50,3,False
260,Swampert,Water,Ground,535,255,280,100,110,90,85,90,60,3,False
260,SwampertMega Swampert,Water,Ground,635,315,320,100,150,110,95,110,70,3,False
261,Poochyena,Dark,,220,120,100,35,55,35,30,30,35,3,False
262,Mightyena,Dark,,420,220,200,70,90,70,60,60,70,3,False
263,Zigzagoon,Normal,,240,120,120,38,30,41,30,41,60,3,False
264,Linoone,Normal,,420,220,200,78,70,61,50,61,100,3,False
265,Wurmple,Bug,,195,85,110,45,45,35,20,30,20,3,False
266,Silcoon,Bug,,205,75,130,50,35,55,25,25,15,3,False
267,Beautifly,Bug,Flying,395,235,160,60,70,50,100,50,65,3,False
268,Cascoon,Bug,,205,75,130,50,35,55,25,25,15,3,False
269,Dustox,Bug,Poison,385,165,220,60,50,70,50,90,65,3,False
270,Lotad,Water,Grass,220,100,120,40,30,30,40,50,30,3,False
271,Lombre,Water,Grass,340,160,180,60,50,50,60,70,50,3,False
272,Ludicolo,Water,Grass,480,230,250,80,70,70,90,100,70,3,False
273,Seedot,Grass,,220,100,120,40,40,50,30,30,30,3,False
274,Nuzleaf,Grass,Dark,340,190,150,70,70,40,60,40,60,3,False
275,Shiftry,Grass,Dark,480,270,210,90,100,60,90,60,80,3,False
276,Taillow,Normal,Flying,270,170,100,40,55,30,30,30,85,3,False
277,Swellow,Normal,Flying,430,260,170,60,85,60,50,50,125,3,False
278,Wingull,Water,Flying,270,170,100,40,30,30,55,30,85,3,False
279,Pelipper,Water,Flying,430,200,230,60,50,100,85,70,65,3,False
280,Ralts,Psychic,Fairy,198,110,88,28,25,25,45,35,40,3,False
281,Kirlia,Psychic,Fairy,278,150,128,38,35,35,65,55,50,3,False
282,Gardevoir,Psychic,Fairy,518,270,248,68,65,65,125,115,80,3,False
282,GardevoirMega Gardevoir,Psychic,Fairy,618,350,268,68,85,65,165,135,100,3,False
283,Surskit,Bug,Water,269,145,124,40,30,32,50,52,65,3,False
284,Masquerain,Bug,Flying,414,200,214,70,60,62,80,82,60,3,False
285,Shroomish,Grass,,295,115,180,60,40,60,40,60,35,3,False
286,Breloom,Grass,Fighting,460,260,200,60,130,80,60,60,70,3,False
287,Slakoth,Normal,,280,125,155,60,60,60,35,35,30,3,False
288,Vigoroth,Normal,,440,225,215,80,80,80,55,55,90,3,False
289,Slaking,Normal,,670,355,315,150,160,100,95,65,100,3,False
290,Nincada,Bug,Ground,266,115,151,31,45,90,30,30,40,3,False
291,Ninjask,Bug,Flying,456,300,156,61,90,45,50,50,160,3,False
292,Shedinja,Bug,Ghost,236,160,76,1,90,45,30,30,40,3,False
293,Whismur,Normal,,240,130,110,64,51,23,51,23,28,3,False
294,Loudred,Normal,,360,190,170,84,71,43,71,43,48,3,False
295,Exploud,Normal,,490,250,240,104,91,63,91,73,68,3,False
296,Makuhita,Fighting,,237,105,132,72,60,30,20,30,25,3,False
297,Hariyama,Fighting,,474,210,264,144,120,60,40,60,50,3,False
298,Azurill,Normal,Fairy,190,60,130,50,20,40,20,40,20,3,False
299,Nosepass,Rock,,375,120,255,30,45,135,45,90,30,3,False
300,Skitty,Normal,,260,130,130,50,45,45,35,35,50,3,False
301,Delcatty,Normal,,380,190,190,70,65,65,55,55,70,3,False
302,Sableye,Dark,Ghost,380,190,190,50,75,75,65,65,50,3,False
302,SableyeMega Sableye,Dark,Ghost,480,190,290,50,85,125,85,115,20,3,False
303,Mawile,Steel,Fairy,380,190,190,50,85,85,55,55,50,3,False
303,MawileMega Mawile,Steel,Fairy,480,210,270,50,105,125,55,95,50,3,False
304,Aron,Steel,Rock,330,140,190,50,70,100,40,40,30,3,False
305,Lairon,Steel,Rock,430,180,250,60,90,140,50,50,40,3,False
306,Aggron,Steel,Rock,530,220,310,70,110,180,60,60,50,3,False
306,AggronMega Aggron,Steel,,630,250,380,70,140,230,60,80,50,3,False
307,Meditite,Fighting,Psychic,280,140,140,30,40,55,40,55,60,3,False
308,Medicham,Fighting,Psychic,410,200,210,60,60,75,60,75,80,3,False
308,MedichamMega Medicham,Fighting,Psychic,510,280,230,60,100,85,80,85,100,3,False
309,Electrike,Electric,,295,175,120,40,45,40,65,40,65,3,False
310,Manectric,Electric,,475,285,190,70,75,60,105,60,105,3,False
310,ManectricMega Manectric,Electric,,575,345,230,70,75,80,135,80,135,3,False
311,Plusle,Electric,,405,230,175,60,50,40,85,75,95,3,False
312,Minun,Electric,,405,210,195,60,40,50,75,85,95,3,False
313,Volbeat,Bug,,400,205,195,65,73,55,47,75,85,3,False
314,Illumise,Bug,,400,205,195,65,47,55,73,75,85,3,False
315,Roselia,Grass,Poison,400,225,175,50,60,45,100,80,65,3,False
316,Gulpin,Poison,,302,126,176,70,43,53,43,53,40,3,False
317,Swalot,Poison,,467,201,266,100,73,83,73,83,55,3,False
318,Carvanha,Water,Dark,305,220,85,45,90,20,65,20,65,3,False
319,Sharpedo,Water,Dark,460,310,150,70,120,40,95,40,95,3,False
319,SharpedoMega Sharpedo,Water,Dark,560,355,205,70,140,70,110,65,105,3,False
320,Wailmer,Water,,400,200,200,130,70,35,70,35,60,3,False
321,Wailord,Water,,500,240,260,170,90,45,90,45,60,3,False
322,Numel,Fire,Ground,305,160,145,60,60,40,65,45,35,3,False
323,Camerupt,Fire,Ground,460,245,215,70,100,70,105,75,40,3,False
323,CameruptMega Camerupt,Fire,Ground,560,285,275,70,120,100,145,105,20,3,False
324,Torkoal,Fire,,470,190,280,70,85,140,85,70,20,3,False
325,Spoink,Psychic,,330,155,175,60,25,35,70,80,60,3,False
326,Grumpig,Psychic,,470,215,255,80,45,65,90,110,80,3,False
327,Spinda,Normal,,360,180,180,60,60,60,60,60,60,3,False
328,Trapinch,Ground,,290,155,135,45,100,45,45,45,10,3,False
329,Vibrava,Ground,Dragon,340,190,150,50,70,50,50,50,70,3,False
330,Flygon,Ground,Dragon,520,280,240,80,100,80,80,80,100,3,False
331,Cacnea,Grass,,335,205,130,50,85,40,85,40,35,3,False
332,Cacturne,Grass,Dark,475,285,190,70,115,60,115,60,55,3,False
333,Swablu,Normal,Flying,310,130,180,45,40,60,40,75,50,3,False
334,Altaria,Dragon,Flying,490,220,270,75,70,90,70,105,80,3,False
334,AltariaMega Altaria,Dragon,Fairy,590,300,290,75,110,110,110,105,80,3,False
335,Zangoose,Normal,,458,265,193,73,115,60,60,60,90,3,False
336,Seviper,Poison,,458,265,193,73,100,60,100,60,65,3,False
337,Lunatone,Rock,Psychic,440,220,220,70,55,65,95,85,70,3,False
338,Solrock,Rock,Psychic,440,220,220,70,95,85,55,65,70,3,False
339,Barboach,Water,Ground,288,154,134,50,48,43,46,41,60,3,False
340,Whiscash,Water,Ground,468,214,254,110,78,73,76,71,60,3,False
341,Corphish,Water,,308,165,143,43,80,65,50,35,35,3,False
342,Crawdaunt,Water,Dark,468,265,203,63,120,85,90,55,55,3,False
