Name,Type,Total,Total Attack,Total Defense,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Milotic,Water,540,241,299,95,60,79,100,125,81,3,False
Clamperl,Water,345,170,175,35,64,85,74,55,32,3,False
Huntail,Water,485,250,235,55,104,105,94,75,52,3,False
Gorebyss,Water,485,250,235,55,84,105,114,75,52,3,False
Relicanth,Water,485,190,295,100,90,130,45,65,55,3,False
Luvdisc,Water,330,167,163,43,30,55,40,65,97,3,False
Kyogre,Water,670,340,330,100,100,90,150,140,90,3,True
KyogrePrimal Kyogre,Water,770,420,350,100,150,90,180,160,90,3,True
Piplup,Water,314,152,162,53,51,53,61,56,40,4,False
Prinplup,Water,405,197,208,64,66,68,81,76,50,4,False
Empoleon,Water,530,257,273,84,86,88,111,101,60,4,False
Buizel,Water,330,210,120,55,65,35,60,30,85,4,False
Floatzel,Water,495,305,190,85,105,55,85,50,115,4,False
Shellos,Water,325,139,186,76,48,48,57,62,34,4,False
Gastrodon,Water,475,214,261,111,83,68,92,82,39,4,False
Finneon,Water,330,164,166,49,49,56,49,61,66,4,False
Lumineon,Water,460,229,231,69,69,76,69,86,91,4,False
Mantyke,Water,345,130,215,45,20,50,60,120,50,4,False
Palkia,Water,680,370,310,90,120,100,150,120,100,4,True
Phione,Water,480,240,240,80,80,80,80,80,80,4,False
Manaphy,Water,600,300,300,100,100,100,100,100,100,4,False
Oshawott,Water,308,163,145,55,55,45,63,45,45,5,False
Dewott,Water,413,218,195,75,75,60,83,60,60,5,False
Samurott,Water,528,278,250,95,100,85,108,70,70,5,False
Panpour,Water,316,170,146,50,53,48,53,48,64,5,False
Simipour,Water,498,297,201,75,98,63,98,63,101,5,False
Tympole,Water,294,164,130,50,50,40,50,40,64,5,False
Palpitoad,Water,384,199,185,75,65,55,65,55,69,5,False
Seismitoad,Water,509,254,255,105,95,75,85,75,74,5,False
Basculin,Water,460,270,190,70,92,65,80,55,98,5,False
Tirtouga,Water,355,153,202,54,78,103,53,45,22,5,False
Carracosta,Water,495,223,272,74,108,133,83,65,32,5,False
Ducklett,Water,305,143,162,62,44,50,44,50,55,5,False
Swanna,Water,473,272,201,75,87,63,87,63,98,5,False
Frillish,Water,335,145,190,55,40,50,65,85,40,5,False
Jellicent,Water,480,205,275,100,60,70,85,105,60,5,False
Alomomola,Water,470,180,290,165,75,80,40,45,65,5,False
KeldeoOrdinary Forme,Water,580,309,271,91,72,90,129,90,108,5,False
KeldeoResolute Forme,Water,580,309,271,91,72,90,129,90,108,5,False
Froakie,Water,314,189,125,41,56,40,62,44,71,6,False
Frogadier,Water,405,243,162,54,63,52,83,56,97,6,False
Greninja,Water,530,320,210,72,95,67,103,71,122,6,False
Clauncher,Water,330,155,175,50,53,62,58,63,44,6,False
Clawitzer,Water,500,252,248,71,73,88,120,89,59,6,False
Omanyte,Water,355,165,190,35,40,100,90,55,35,1,False
Omastar,Water,495,230,265,70,60,125,115,70,55,1,False
Kabuto,Water,355,190,165,30,80,90,55,45,55,1,False
Kabutops,Water,495,260,235,60,115,105,65,70,80,1,False
Surskit,Water,269,145,124,40,30,32,50,52,65,3,False
Spheal,Water,290,120,170,70,40,50,55,50,25,3,False
Sealeo,Water,410,180,230,90,60,70,75,70,45,3,False
Walrein,Water,530,240,290,110,80,90,95,90,65,3,False
Bibarel,Water,410,211,199,79,85,60,55,60,71,4,False
RotomWash Rotom,Water,520,256,264,50,65,107,105,107,86,4,False
Binacle,Water,306,141,165,42,52,67,39,56,50,6,False
Barbaracle,Water,500,227,273,72,105,115,54,86,68,6,False
Skrelp,Water,320,150,170,50,60,60,60,60,30,6,False
Volcanion,Water,600,310,290,80,110,120,130,90,70,6,True
